s	arp
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	1
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	1
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	1
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	1
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	1
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	1
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	1
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	1
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	1
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	1
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	1
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	1
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	1
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	1
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	1
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	1
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	690
241	889
242	900
243	903
244	898
245	911
246	919
247	894
248	928
249	890
250	1639
251	1877
252	1869
253	1863
254	1859
255	1862
256	1774
257	1730
258	1808
259	1900
260	1637
261	1586
262	1680
263	1612
264	1583
265	1731
266	1604
267	1669
268	1660
269	1552
270	1601
271	1405
272	1496
273	1437
274	1483
275	1397
276	1580
277	1495
278	1425
279	1477
280	1488
281	1509
282	1402
283	1437
284	1437
285	1484
286	1430
287	1461
288	1521
289	1501
290	1406
291	1389
292	1255
293	1252
294	1327
295	1331
296	1328
297	1295
298	1239
299	1236
300	1225
301	1200
302	1206
303	1179
304	1225
305	1260
306	1236
307	1206
308	1096
309	1121
310	1268
311	1225
312	1273
313	1317
314	1326
315	1269
316	1283
317	1305
318	1342
319	1223
320	1383
321	1428
322	1342
323	1446
324	1372
325	1364
326	1292
327	1400
328	1346
329	1348
330	1364
331	1336
332	1292
333	1150
334	1293
335	1349
336	1171
337	1215
338	1222
339	1159
340	1123
341	1036
342	1051
343	974
344	1083
345	1250
346	1256
347	1148
348	1054
349	1217
350	1115
351	1063
352	1118
353	922
354	972
355	1024
356	1093
357	950
358	967
359	957
360	940
361	1071
362	1181
363	1051
364	841
365	1045
366	960
367	1043
368	803
369	862
370	834
