s	arp
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	1
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	921
42	844
43	892
44	898
45	899
46	900
47	924
48	931
49	886
50	896
51	1828
52	1860
53	1843
54	1765
55	1917
56	1929
57	1907
58	1906
59	1767
60	1834
61	1662
62	1605
63	1566
64	1625
65	1613
66	1651
67	1647
68	1649
69	1670
70	1654
71	1593
72	1567
73	1544
74	1575
75	1511
76	1551
77	1519
78	1525
79	1565
80	1492
81	1493
82	1528
83	1574
84	1546
85	1576
86	1530
87	1545
88	1546
89	1500
90	1515
91	1458
92	1552
93	1654
94	1651
95	1674
96	1644
97	1660
98	1600
99	1566
100	1563
101	1617
102	1435
103	1520
104	1633
105	1657
106	1636
107	1632
108	1628
109	1671
110	1672
111	1532
112	1477
113	1471
114	1661
115	1677
116	1685
117	1727
118	1720
119	1620
120	1443
121	1438
122	1538
123	1416
124	1472
125	1463
126	1470
127	1423
128	1437
129	1522
130	1383
131	1445
132	1500
133	1476
134	1397
135	1384
136	1376
137	1440
138	1453
139	1362
140	1400
141	1311
142	1443
143	1368
144	1335
145	1372
146	1307
147	1382
148	1409
149	1364
150	1441
151	1296
152	1245
153	1214
154	1322
155	1279
156	1356
157	1356
158	1424
159	1251
160	1309
161	1267
162	1278
163	1341
164	1344
165	1327
166	1304
167	1260
168	1313
169	1206
170	1348
171	1365
172	1276
173	1355
174	1332
175	1237
176	1321
177	1308
178	1276
179	1266
180	1355
181	1346
182	1285
183	1149
184	1280
185	1172
186	1197
187	1215
188	1211
189	1215
190	1216
191	1148
192	1216
193	1137
194	1168
195	1282
196	1216
197	1171
198	1169
199	1149
200	1171
201	1192
202	1161
203	1139
204	1153
205	1121
206	1161
207	1124
208	1110
209	1162
210	1079
211	1150
212	1187
213	1069
214	1134
215	1062
216	1175
217	1151
218	1072
219	1157
220	1091
221	1102
222	993
223	1128
224	1022
225	1109
226	1138
227	1037
228	1034
229	1035
230	981
231	970
232	1126
233	1054
234	1072
235	1082
236	1051
237	1105
238	998
239	1048
240	1082
241	1144
242	1082
243	1024
244	1041
245	1003
246	1017
247	1115
248	1109
249	1048
250	1156
251	1115
252	1158
253	1164
254	1046
255	1175
256	1162
257	1130
258	1051
259	1132
260	1104
261	1261
262	1103
263	1094
264	994
265	1034
266	1100
267	1114
268	1107
269	1086
270	1062
271	1169
272	1087
273	1114
274	1179
275	1020
276	1139
277	971
278	928
279	1069
280	965
281	1108
282	1010
283	1078
284	1120
285	1113
286	1032
287	1155
288	1089
289	1022
290	980
291	1104
292	1011
293	989
294	1003
295	1000
296	967
297	1114
298	997
299	980
300	1105
301	1062
302	1060
303	1147
304	1026
305	1087
306	1144
307	1061
308	1127
309	1031
310	1104
311	1061
312	1048
313	952
314	1069
315	1029
316	1083
317	999
318	990
319	1003
320	1077
321	1100
322	1031
323	1111
324	988
325	1006
326	1091
327	917
328	1011
329	1051
330	999
331	1018
332	1006
333	1127
334	1130
335	1211
336	378
337	0
338	0
339	0
340	0
