s	p
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	1
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	881
52	890
53	907
54	885
55	906
56	885
57	888
58	916
59	887
60	912
61	1792
62	1866
63	1829
64	1873
65	1891
66	1769
67	1748
68	1747
69	1769
70	1786
71	1676
72	1623
73	1577
74	1564
75	1687
76	1678
77	1621
78	1749
79	1612
80	1732
81	1541
82	1588
83	1584
84	1599
85	1564
86	1586
87	1616
88	1579
89	1593
90	1576
91	1497
92	1575
93	1518
94	1496
95	1492
96	1522
97	1501
98	1626
99	1569
100	1575
101	1522
102	1425
103	1472
104	1383
105	1514
106	1552
107	1446
108	1595
109	1642
110	1440
111	1448
112	322
113	429
114	919
115	957
116	844
117	814
118	914
119	780
120	221
121	661
122	745
123	719
124	593
125	732
126	687
127	574
128	650
129	654
130	539
131	604
132	575
133	732
134	563
135	691
136	527
137	655
138	657
139	606
140	544
141	525
142	637
143	691
144	625
145	524
146	635
147	725
148	717
149	727
150	715
151	573
152	561
153	526
154	560
155	564
156	493
157	551
158	593
159	541
160	515
161	573
162	178
163	187
164	614
165	572
166	527
167	645
168	560
169	566
170	70
171	599
172	543
173	575
174	584
175	604
176	532
177	589
178	625
179	575
180	602
181	632
182	591
183	555
184	599
185	656
186	630
187	615
188	552
189	629
190	576
191	611
192	570
193	594
194	542
195	560
196	556
197	576
198	586
199	578
200	569
201	570
202	517
203	554
204	556
205	615
206	560
207	555
208	546
209	564
210	541
211	597
212	290
213	89
214	650
215	638
216	638
217	681
218	635
219	616
220	139
221	547
222	592
223	607
224	623
225	606
226	631
227	659
228	630
229	623
230	562
231	564
232	569
233	556
234	475
235	525
236	593
237	534
238	517
239	480
240	437
241	470
242	506
243	491
244	478
245	460
246	487
247	469
248	479
249	424
250	465
