s	arp
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1.0	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2.0	0
2.1	0
2.2	0
2.3	0
2.4	0
2.5	0
2.6	0
2.7	0
2.8	0
2.9	0
3.0	0
3.1	0
3.2	0
3.3	0
3.4	0
3.5	0
3.6	0
3.7	0
3.8	1
3.9	0
4.0	0
4.1	0
4.2	0
4.3	0
4.4	0
4.5	0
4.6	0
4.7	0
4.8	1
4.9	0
5.0	0
5.1	0
5.2	0
5.3	0
5.4	0
5.5	0
5.6	0
5.7	0
5.8	1
5.9	0
6.0	0
6.1	0
6.2	0
6.3	0
6.4	0
6.5	0
6.6	0
6.7	0
6.8	1
6.9	0
7.0	0
7.1	0
7.2	0
7.3	0
7.4	0
7.5	0
7.6	0
7.7	0
7.8	313
7.9	923
8.0	896
8.1	923
8.2	889
8.3	901
8.4	898
8.5	925
8.6	899
8.7	892
8.8	1221
8.9	1863
9.0	1811
9.1	1865
9.2	1884
9.3	1891
9.4	1901
9.5	1875
9.6	1890
9.7	1847
9.8	1821
9.9	1640
10.0	1677
10.1	1304
10.2	1005
10.3	980
10.4	986
10.5	1026
10.6	1020
10.7	1007
10.8	1001
10.9	1042
11.0	1056
11.1	916
11.2	825
11.3	781
11.4	800
11.5	856
11.6	818
11.7	834
11.8	831
11.9	798
12.0	775
12.1	767
12.2	689
12.3	812
12.4	716
12.5	680
12.6	722
12.7	704
12.8	848
12.9	706
13.0	713
13.1	688
13.2	800
13.3	737
13.4	741
13.5	719
13.6	808
13.7	836
13.8	945
13.9	935
14.0	883
14.1	779
14.2	795
14.3	977
14.4	954
14.5	883
14.6	954
14.7	914
14.8	915
14.9	1004
15.0	987
15.1	994
15.2	870
15.3	946
15.4	914
15.5	956
15.6	930
15.7	959
15.8	887
15.9	1025
16.0	767
16.1	790
16.2	875
16.3	1047
16.4	997
16.5	932
16.6	950
16.7	992
16.8	1046
16.9	1086
17.0	1054
17.1	1034
17.2	853
17.3	834
17.4	836
17.5	817
17.6	805
17.7	824
17.8	811
17.9	939
18.0	834
18.1	917
18.2	1022
18.3	859
18.4	893
18.5	831
18.6	874
18.7	946
18.8	1069
18.9	980
19.0	934
19.1	881
19.2	886
19.3	801
19.4	744
19.5	781
19.6	769
19.7	818
19.8	773
19.9	790
20.0	736
20.1	755
20.2	736
20.3	717
20.4	658
20.5	638
20.6	655
20.7	643
20.8	681
20.9	644
21.0	627
21.1	694
21.2	586
21.3	645
21.4	560
21.5	575
21.6	569
21.7	657
21.8	605
21.9	588
22.0	591
22.1	632
22.2	861
22.3	911
22.4	853
22.5	951
22.6	941
22.7	906
22.8	850
22.9	929
23.0	882
23.1	242
23.2	0
23.3	0
23.4	0
23.5	0
23.6	0
23.7	0
23.8	1
23.9	0
24.0	0
24.1	0
24.2	0
24.3	0
24.4	0
24.5	0
24.6	0
24.7	0
24.8	1
24.9	0
25.0	0
