s	p
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1.0	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2.0	1
2.1	1
2.2	1
2.3	1
2.4	1
2.5	1
2.6	1
2.7	1
2.8	1
2.9	1
3.0	1
3.1	1
3.2	1
3.3	1
3.4	1
3.5	1
3.6	1
3.7	1
3.8	1
3.9	1
4.0	2
4.1	2
4.2	2
4.3	2
4.4	2
4.5	2
4.6	2
4.7	2
4.8	2
4.9	2
5.0	2
5.1	2
5.2	2
5.3	2
5.4	2
5.5	2
5.6	2
5.7	2
5.8	2
5.9	2
6.0	3
6.1	3
6.2	3
6.3	3
6.4	3
6.5	3
6.6	3
6.7	3
6.8	3
6.9	3
7.0	3
7.1	3
7.2	3
7.3	3
7.4	3
7.5	3
7.6	3
7.7	3
7.8	3
7.9	3
8.0	4
8.1	4
8.2	4
8.3	4
8.4	4
8.5	4
8.6	4
8.7	4
8.8	4
8.9	4
9.0	4
9.1	4
9.2	4
9.3	4
9.4	4
9.5	4
9.6	4
9.7	4
9.8	5
9.9	5
10.0	6
10.1	6
10.2	6
10.3	6
10.4	6
10.5	6
10.6	6
10.7	6
10.8	7
10.9	7
11.0	7
11.1	7
11.2	7
11.3	7
11.4	7
11.5	7
11.6	7
11.7	7
11.8	8
11.9	8
12.0	9
12.1	9
12.2	9
12.3	9
12.4	9
12.5	9
12.6	9
12.7	9
12.8	10
12.9	10
13.0	10
13.1	10
13.2	10
13.3	10
13.4	10
13.5	10
13.6	10
13.7	10
13.8	11
13.9	11
14.0	12
14.1	12
14.2	12
14.3	12
14.4	12
14.5	12
14.6	12
14.7	12
14.8	13
14.9	13
15.0	13
15.1	13
15.2	13
15.3	13
15.4	13
15.5	13
15.6	13
15.7	13
15.8	14
15.9	14
16.0	15
16.1	15
16.2	15
16.3	15
16.4	15
16.5	15
16.6	15
16.7	15
16.8	16
16.9	16
17.0	18
17.1	18
17.2	18
17.3	18
17.4	18
17.5	18
17.6	18
17.7	18
17.8	19
17.9	19
18.0	20
18.1	20
18.2	20
18.3	20
18.4	20
18.5	20
18.6	20
18.7	20
18.8	21
18.9	21
19.0	21
19.1	21
19.2	21
19.3	21
19.4	21
19.5	21
19.6	21
19.7	21
19.8	22
19.9	22
20.0	23
20.1	23
20.2	23
20.3	23
20.4	23
20.5	23
20.6	23
20.7	23
20.8	24
20.9	24
21.0	24
21.1	24
21.2	24
21.3	24
21.4	24
21.5	24
21.6	24
21.7	24
21.8	25
21.9	25
22.0	26
